Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Asscher,1.01,I,VS1,,67.8,65,Excellent,Very Good,5.53X5.44X3.69,GIA,US$5,171
Asscher,1.01,E,VS1,,67.9,68,Excellent,Excellent,5.58X5.47X3.71,GIA,US$6,302
Asscher,1.03,E,VS1,,67.7,65,Excellent,Very Good,5.59X5.54X3.75,GIA,US$6,180
Asscher,1.20,D,VS2,,67.2,63,Excellent,Very Good,5.86X5.85X3.93,GIA,US$9,504
Asscher,1.16,E,VS1,,68.6,64,Excellent,Excellent,5.79X5.74X3.94,GIA,US$8,213
Asscher,1.51,F,VS2,,68,65,Excellent,Excellent,6.28X6.28X4.26,GIA,US$14,218
Asscher,1.51,H,VS1,,67.5,62,Excellent,Excellent,6.33X6.30X4.25,GIA,US$12,788
Asscher,1.09,E,VS1,,66.8,62,Excellent,Excellent,5.72X5.66X3.78,GIA,US$7,316
Asscher,0.70,F,VS1,,67.1,65,Excellent,Excellent,4.90X4.87X3.27,GIA,US$2,856
Asscher,1.55,H,VS2,,67.2,64,Excellent,Very Good,6.42X6.39X4.29,GIA,US$12,809
Asscher,1.02,H,VVS2,,67.7,61,Excellent,Very Good,5.58X5.53X3.74,GIA,US$5,302
Asscher,1.02,F,VVS2,,67.5,63,Excellent,Very Good,5.57X5.53X3.73,GIA,US$6,487
Asscher,1.08,H,VS1,,67.7,65,Excellent,Excellent,5.63X5.61X3.79,GIA,US$5,607
Asscher,2.01,G,VVS2,,69.9,65,Excellent,Very Good,7.01X6.80X4.76,GIA,US$21,708
Asscher,2.01,G,VS2,,66.6,72,Very Good,Good,7.06X6.86X4.57,GIA,US$21,756
Asscher,1.71,D,VS2,,67.4,63,Excellent,Excellent,6.61X6.59X4.44,GIA,US$19,163
Asscher,1.51,H,VS1,,67.6,63,Excellent,Very Good,6.34X6.22X4.2,GIA,US$13,771
Asscher,2.30,E,VS1,,68.4,64,Excellent,Excellent,7.35X7.16X4.90,GIA,US$32,366
Asscher,3.10,G,VS2,,59.4,68,Very Good,Very Good,8.62X8.51X5.05,GIA,US$46,872
Asscher,0.90,G,VVS2,,69.8,64,Excellent,Very Good,5.24X5.23X3.66,GIA,US$4,355
Asscher,0.90,D,VS2,,67,65,Excellent,Very Good,5.42X5.29X3.54,GIA,US$4,510
Asscher,0.90,F,VS2,,68.5,65,Excellent,Very Good,5.32X5.26X3.60,GIA,US$4,349
Asscher,0.90,D,VS1,,67.6,66,Excellent,Excellent,5.38X5.28X3.57,GIA,US$5,080
Asscher,1.20,E,VS1,,68.9,70,Excellent,Very Good,5.89X5.85X4.03,GIA,US$9,216
Asscher,0.50,I,VS1,,68.1,64,Excellent,Excellent,4.41X4.25X2.89,GIA,US$968
Asscher,0.51,H,VVS2,,68,64,Excellent,Excellent,4.33X4.25X2.89,GIA,US$1,103
Asscher,0.51,I,VVS2,,67.9,66,Excellent,Excellent,4.31X4.25X2.88,GIA,US$1,032
Asscher,0.70,I,VVS1,,68.8,66,Excellent,Excellent,4.85X4.74X3.26,GIA,US$2,150
Asscher,0.71,J,VS1,,69.3,62,Very Good,Excellent,4.81X4.68X3.24,GIA,US$1,647
Asscher,0.73,F,VS2,,65,64,Excellent,Very Good,5.05X5.02X3.26,GIA,US$2,698
Asscher,0.90,H,VS2,,67.8,62,Excellent,Very Good,5.27X5.26X3.57,GIA,US$3,643
Asscher,0.90,H,VS1,,68.7,63,Excellent,Excellent,5.23X5.19X3.56,GIA,US$3,925
Asscher,0.90,H,VS2,,69,64,Very Good,Excellent,5.18X5.14X3.55,GIA,US$3,643
Asscher,0.90,J,VS1,,70,64,Very Good,Very Good,5.19X5.17X3.62,GIA,US$2,851
Asscher,0.90,G,SI1,,68.9,67,Very Good,Good,5.14X5.10X3.52,GIA,US$3,881
Asscher,0.83,J,VS1,,68.3,64,Excellent,Very Good,5.11X5.10X3.48,GIA,US$2,158
Asscher,1.00,G,VS2,,67.7,63,Excellent,Excellent,5.49X5.40X3.66,GIA,US$5,632
Asscher,1.00,F,VS1,,69.6,67,Very Good,Excellent,5.28X5.25X3.65,GIA,US$6,160
Asscher,1.01,I,SI1,,67.2,62,Excellent,Very Good,5.60X5.54X3.72,GIA,US$4,072
Asscher,1.01,H,VS1,,69.6,63,Excellent,Very Good,5.42X5.35X3.72,GIA,US$4,706
Asscher,1.01,G,VVS1,,69.6,64,Excellent,Excellent,5.44X5.29X3.68,GIA,US$5,585
Asscher,1.03,I,VVS2,,67.9,62,Very Good,Excellent,5.57X5.49X3.73,GIA,US$4,120
Asscher,1.20,F,VS1,,66.9,61,Excellent,Excellent,5.90X5.89X3.94,GIA,US$9,408
Asscher,1.20,H,VS2,,68.6,64,Excellent,Excellent,5.82X5.80X3.98,GIA,US$7,569
Asscher,1.23,F,VVS1,,68,61,Very Good,Very Good,6.02X5.88X4.00,GIA,US$10,037
Asscher,1.31,E,VS2,,72.2,64,Excellent,Very Good,5.94X5.82X4.20,GIA,US$8,803
Asscher,1.52,J,VS2,,67.3,65,Excellent,Excellent,6.31X6.31X1.00,GIA,US$8,699
Asscher,1.60,J,VS1,,67.5,63,Excellent,Excellent,6.39X6.34X4.28,GIA,US$9,600
Asscher,1.70,I,SI1,,69.8,67,Excellent,Excellent,6.33X6.32X4.41,GIA,US$11,555
Asscher,2.00,G,VS2,,69.8,64,Excellent,Excellent,6.87X6.58X4.59,EGL,US$14,957
Asscher,2.22,F,VS1,,67.4,64,Good,Good,7.37X7.15X4.82,GIA,US$24,864
Asscher,3.02,J,VS2,,68.1,65,Excellent,Excellent,7.84X7.84X5.34,GIA,US$32,133
Asscher,4.02,I,VS1,,68.4,62,Excellent,Excellent,8.62X8.61X5.89,GIA,US$55,717
Asscher,0.50,F,SI2,,60.7,65,Excellent,Excellent,4.61X4.55X2.76,GIA,US$957
Asscher,0.56,F,VS1,,73.1,86,Good,Good,4.70X4.56X3.33,GIA,US$1,012
Asscher,0.75,E,VVS1,,68.5,74,Very Good,Good,5.28X5.11X3.50,GIA,US$2,764
Asscher,0.96,F,VVS1,,60.4,66,Good,Good,5.85X5.66X3.42,GIA,US$6,276
