Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Emerald,1.00,I,VS1,,61.4,68,Excellent,Very Good,6.71X5.08X3.12,GIA,US$4,696
Emerald,1.00,E,VS2,,65.7,70,Excellent,Very Good,6.62X5.08X3.34,GIA,US$6,040
Emerald,1.03,F,VVS2,,67.5,69,Very Good,Very Good,6.76X4.92X3.32,GIA,US$6,534
Emerald,0.54,G,VVS1,,67.6,63,Excellent,Very Good,5.65X3.87X2.61,GIA,US$1,750
Emerald,0.73,H,VS1,,68.8,65,Very Good,Very Good,5.96X4.38X3.02,GIA,US$2,733
Emerald,3.04,D,VS2,,66.4,70,Excellent,Very Good,9.82X7.06X4.69,GIA,US$55,328
Emerald,1.20,G,VS2,,68.2,61,Very Good,Very Good,7.6X5.07X3.46,GIA,US$9,024
Emerald,1.20,G,SI1,,67.9,63,Excellent,Good,7.28X5X3.4,GIA,US$7,776
Emerald,1.20,I,VS2,,68.3,69,Very Good,Good,7.11X5.27X3.6,GIA,US$6,768
Emerald,3.09,G,VS2,,66.9,67,Excellent,Very Good,8.51X7.67X5.14,GIA,US$46,721
Emerald,1.91,I,SI1,,68.8,67,Very Good,Very Good,9.10X5.56X3.83,GIA,US$14,064
Emerald,1.59,K,VVS2,,68.3,64,Very Good,Very Good,8.38X5.30X3.62,GIA,US$6,945
Emerald,1.04,G,VS1,,62.3,63,Very Good,Very Good,6.79X5.20X3.24,GIA,US$7,139
Emerald,1.04,H,VS2,,66.2,64,Very Good,Very Good,7.12X4.81X3.18,GIA,US$6,110
Emerald,2.02,G,VS1,,69.3,62,Very Good,Very Good,8.32X6.15X4.26,GIA,US$25,649
Emerald,1.03,F,VS1,,63,65,Very Good,Good,7.05X5.00X3.15,GIA,US$7,498
Emerald,1.03,G,VS2,,62.8,66,Very Good,Very Good,7.75X4.76X2.99,GIA,US$6,328
Emerald,1.03,J,VS2,,65.8,66,Very Good,Very Good,6.82X5.00X3.29,GIA,US$4,178
Emerald,1.03,J,SI1,,62.8,67,Very Good,Very Good,6.67X5.08X3.19,GIA,US$4,085
Emerald,1.05,J,VVS2,,68.8,66,Very Good,Very Good,7.04X4.81X3.31,GIA,US$4,912
Emerald,1.06,H,VS2,,68.2,67,Very Good,Very Good,7.08X4.79X3.27,GIA,US$6,228
Emerald,1.22,I,VS1,,63.4,68,Very Good,Very Good,7.35X5.45X3.46,GIA,US$6,217
Emerald,1.02,I,VVS1,,67,66,Excellent,Very Good,7.01X4.78X3.20,GIA,US$5,771
Emerald,1.02,F,VS1,,63.6,67,Very Good,Very Good,7.00X5.04X3.20,GIA,US$7,426
Emerald,0.93,E,VS2,,65.4,70,Very Good,Very Good,6.69X4.88X3.20,GIA,US$5,320
Emerald,1.02,J,VS2,,65.2,67,Very Good,Very Good,6.71X5.09X3.32,GIA,US$4,137
Emerald,1.02,J,VS1,,62.8,69,Very Good,Very Good,6.68X5.14X3.22,GIA,US$4,550
Emerald,0.93,F,VS1,,67,70,Very Good,Good,7.27X4.53X3.04,GIA,US$5,223
Emerald,1.01,F,VVS2,,69.8,63,Very Good,Very Good,6.45X4.96X3.46,GIA,US$7,878
Emerald,1.01,I,VS2,,71.3,65,Very Good,Very Good,6.92X4.60X3.28,GIA,US$4,937
Emerald,1.01,H,SI1,,63.3,66,Very Good,Very Good,7.06X4.87X3.08,GIA,US$5,462
Emerald,1.01,J,VS2,,66.1,66,Very Good,Very Good,6.66X5.07X3.35,GIA,US$4,097
Emerald,1.04,I,VS1,,65.2,68,Very Good,Very Good,6.74X4.99X3.25,GIA,US$5,300
Emerald,1.01,F,VS2,,64.3,69,Very Good,Good,7.33X4.84X3.11,GIA,US$7,143
Emerald,1.01,J,VS1,,66.9,69,Very Good,Good,6.69X5.00X3.35,GIA,US$4,439
Emerald,1.01,F,VS2,,60.8,71,Very Good,Very Good,6.80X5.30X3.22,GIA,US$7,143
Emerald,1.01,I,VS1,,64.4,67,Very Good,Very Good,6.80X5.02X3.23,GIA,US$5,147
Emerald,1.01,H,VS1,,68.3,67,Very Good,Very Good,6.88X4.78X3.26,GIA,US$5,882
Emerald,0.71,G,VS1,,69.2,63,Very Good,Very Good,6.38X4.16X2.88,GIA,US$3,027
Emerald,0.71,G,VS1,,66.1,69,Very Good,Very Good,6.33X4.28X2.83,GIA,US$3,027
Emerald,1.00,G,VS1,,63.5,68,Very Good,Very Good,6.75X5.17X3.28,GIA,US$6,864
Emerald,1.00,H,VS1,,67.4,70,Very Good,Very Good,7.14X4.79X3.23,GIA,US$6,093
Emerald,0.97,G,VS2,,66.3,62,Excellent,Very Good,6.74X4.71X3.12,GIA,US$5,432
Emerald,1.10,I,IF,,67.1,65,Very Good,Very Good,6.63X5.06X3.40,GIA,US$6,653
Emerald,1.50,N,VS2,,63,69,Very Good,Very Good,7.99X5.73X3.61,GIA,US$4,368
Emerald,0.90,I,VS2,,68.4,63,Excellent,Very Good,6.63X4.51X3.08,GIA,US$4,032
Emerald,0.90,E,VS2,,66.6,64,Excellent,Very Good,6.53X4.69X3.13,GIA,US$5,076
Emerald,0.90,G,SI1,,69.9,65,Very Good,Very Good,6.21X4.62X3.23,GIA,US$3,960
Emerald,0.76,G,VS2,,65.3,63,Very Good,Very Good,6.07X4.41X2.88,GIA,US$3,314
Emerald,1.26,E,VS2,,67.9,61,Excellent,Very Good,7.15X5.24X3.56,GIA,US$9,878
Emerald,0.90,E,VS2,,66.6,67,Excellent,Very Good,6.65X4.65X3.09,GIA,US$4,507
Emerald,0.90,E,VS2,,67.5,68,Excellent,Very Good,6.32X4.81X3.25,GIA,US$4,356
Emerald,2.01,E,VVS2,,67.6,65,Excellent,Very Good,8.20X6.12X4.14,GIA,US$29,266
Emerald,0.60,G,VVS2,,68.2,61,Very Good,Very Good,5.79X3.98X2.72,GIA,US$1,693
Emerald,0.92,G,VVS2,,68.4,62,Excellent,Very Good,6.37X4.82X3.30,GIA,US$4,292
Emerald,0.92,D,VS2,,68.9,65,Excellent,Excellent,6.54X4.68X3.23,GIA,US$4,688
Emerald,0.91,D,SI1,,65.3,61,Very Good,Very Good,6.37X4.72X3.08,GIA,US$4,084
Emerald,1.08,I,VS1,,68.2,66,Excellent,Very Good,6.84X4.90X3.34,GIA,US$5,072
Emerald,0.84,E,SI1,,66.2,66,Excellent,Very Good,6.32X4.61X3.05,GIA,US$2,830
Emerald,2.12,H,VS2,,64.3,65,Very Good,Very Good,8.86X6.34X4.08,GIA,US$24,338
Emerald,0.52,J,VS2,,67.9,60,Excellent,Very Good,5.15X3.88X2.64,GIA,US$958
Emerald,0.72,G,VS1,,69.2,63,Excellent,Very Good,5.6X4.26X2.95,GIA,US$3,168
Emerald,0.93,H,VVS1,,65.7,67,Very Good,Very Good,6.48X4.93X3.24,GIA,US$4,739
Emerald,0.61,H,VVS2,,64.4,65,Excellent,Very Good,5.77X4.43X2.85,GIA,US$1,649
Emerald,0.78,G,VS2,,64.1,68,Very Good,Very Good,6.24X4.62X2.96,GIA,US$2,774
Emerald,1.08,I,VVS1,,68.9,64,Excellent,Very Good,7.02X4.81X3.31,GIA,US$6,110
Emerald,1.08,I,VS1,,69,66,Very Good,Very Good,6.76X5.02X3.46,GIA,US$5,504
Emerald,0.90,J,SI1,,80.8,66,Good,Good,5.53X4.71X3.81,GIA,US$2,016
Emerald,0.90,E,VS2,,67.6,69,Excellent,Good,6.86X4.46X3.01,GIA,US$5,220
Emerald,0.90,I,VVS2,,65.8,71,Good,Good,6.56X4.82X3.17,GIA,US$3,600
Emerald,0.65,J,SI1,,61.1,74,Very Good,Good,5.96X4.49X2.74,GIA,US$1,149
Emerald,1.51,G,SI1,,64.5,65,Very Good,Good,8.66X5.30X3.42,GIA,US$12,249
Emerald,0.84,H,VVS2,,56.4,69,Very Good,Very Good,7.02X4.78X2.70,GIA,US$3,232
Emerald,8.13,K,VS2,,69.2,55,Excellent,Excellent,13.52X9.67X6.69,GIA,US$148,389
Emerald,1.23,L,VS1,,67.4,65,Very Good,Very Good,7.19X5.32X3.59,GIA,US$4,428
Emerald,2.10,H,VVS2,,66.3,64,Very Good,Excellent,8.57X6.25X4.14,GIA,US$24,360
Emerald,0.98,G,VS2,,67.4,70,Excellent,Very Good,7.07X4.66X3.14,GIA,US$5,198
Emerald,1.03,E,VS2,,67.6,62,Excellent,Excellent,6.55X4.92X3.33,GIA,US$5,883
Emerald,1.03,E,SI1,,68.3,67,Very Good,Very Good,6.91X4.71X3.22,GIA,US$4,926
Emerald,1.03,D,VS2,,69.2,68,Very Good,Very Good,6.51X4.97X3.44,GIA,US$6,295
Emerald,1.20,I,VVS2,,68.2,64,Excellent,Very Good,7.01X5.16X3.52,GIA,US$6,518
Emerald,1.20,G,VS2,,64.7,65,Very Good,Very Good,7.64X5.16X3.34,GIA,US$8,227
Emerald,1.20,F,VS2,,66.6,65,Excellent,Excellent,7.12X5.28X3.52,GIA,US$8,724
Emerald,0.90,F,VS1,,67.3,69,Very Good,Very Good,6.34X4.74X3.19,GIA,US$4,277
Emerald,0.90,G,VS1,,70,69,Excellent,Very Good,6.35X4.69X3.28,GIA,US$3,967
Emerald,1.21,J,VS1,,66.8,63,Very Good,Very Good,6.99X5.15X3.44,GIA,US$5,392
Emerald,1.21,D,VS2,,68.3,65,Very Good,Very Good,7.07X5.12X3.50,GIA,US$9,438
Emerald,1.50,D,VS2,,67.2,64,Excellent,Very Good,7.59X5.51X3.70,GIA,US$15,300
Emerald,1.50,G,VS1,,66.3,65,Excellent,Very Good,7.80X5.57X3.69,GIA,US$14,414
Emerald,2.00,G,VS2,,65.6,64,Excellent,Very Good,8.70X5.99X3.93,GIA,US$24,784
Emerald,0.80,D,SI1,,68.3,64,Excellent,Very Good,5.97X4.48X3.06,GIA,US$2,781
Emerald,0.90,H,VS2,,68.1,63,Excellent,Very Good,6.29X4.70X3.20,GIA,US$3,571
Emerald,1.51,E,SI1,,67,64,Excellent,Very Good,7.94X5.45X3.65,GIA,US$12,599
Emerald,1.23,H,VVS2,,68,65,Very Good,Very Good,7.02X5.15X3.50,GIA,US$7,628
Emerald,1.23,H,VS1,,68.1,65,Excellent,Very Good,7.30X5.26X3.58,GIA,US$7,705
Emerald,0.92,E,VS2,,68.2,66,Excellent,Very Good,6.25X4.73X3.22,GIA,US$4,210
Emerald,0.92,D,SI1,,68.2,69,Very Good,Very Good,6.50X4.87X3.32,GIA,US$4,291
Emerald,0.90,H,VS2,,68.6,63,Very Good,Very Good,6.21X4.71X3.23,GIA,US$3,511
Emerald,0.90,H,VS1,,64.5,64,Excellent,Very Good,6.43X4.86X3.13,GIA,US$3,852
Emerald,2.01,E,VS2,,67.3,64,Excellent,Excellent,8.26X6.07X4.09,GIA,US$26,114
Emerald,2.01,F,VS2,,67.5,64,Excellent,Very Good,8.24X6.12X4.13,GIA,US$24,233
Emerald,2.01,F,VS1,,68,64,Excellent,Excellent,8.39X6.12X4.16,GIA,US$26,564
Emerald,2.01,G,VS2,,67.5,65,Excellent,Very Good,8.18X6.08X4.11,GIA,US$23,718
Emerald,1.01,E,VS2,,67.8,64,Excellent,Very Good,6.93X4.87X3.30,GIA,US$6,327
Emerald,1.01,I,VS2,,68.2,64,Very Good,Very Good,6.50X4.81X3.28,GIA,US$4,549
Emerald,1.02,J,VS2,,68.4,64,Very Good,Very Good,6.92X4.84X3.31,GIA,US$3,941
Emerald,1.02,H,VVS2,,66.2,67,Very Good,Very Good,6.98X4.80X3.18,GIA,US$5,386
Emerald,0.91,I,VS1,,67.7,67,Very Good,Very Good,6.48X4.69X3.17,GIA,US$3,604
Emerald,0.91,E,VS2,,66.9,68,Excellent,Very Good,6.39X4.81X3.22,GIA,US$4,557
Emerald,0.91,G,VS1,,69.9,69,Very Good,Very Good,6.36X4.64X3.24,GIA,US$4,088
Emerald,1.04,H,VVS2,,66.7,68,Excellent,Very Good,7.17X4.94X3.30,GIA,US$5,491
Emerald,0.90,D,VS2,,63.5,59,Excellent,Very Good,6.46X4.59X2.92,GIA,US$4,092
Emerald,0.90,E,VS1,,65.7,62,Excellent,Good,6.48X4.69X3.08,GIA,US$4,262
Emerald,0.90,E,VS1,,70.7,62,Excellent,Very Good,6.30X4.59X3.24,GIA,US$4,261
Emerald,1.01,F,SI1,,66.2,65,Excellent,Very Good,6.86X4.96X3.29,GIA,US$4,759
Emerald,0.91,J,VS1,,67.5,62,Excellent,Very Good,6.30X4.68X3.16,GIA,US$3,040
Emerald,0.91,E,VS1,,67.9,63,Excellent,Very Good,6.51X4.66X3.16,GIA,US$4,557
Emerald,1.01,E,VVS2,,67.2,65,Very Good,Good,6.57X4.90X3.29,GIA,US$6,244
Emerald,0.91,E,SI1,,68.2,64,Excellent,Very Good,6.45X4.82X3.29,GIA,US$3,704
Emerald,1.20,E,VS1,,67.1,61,Excellent,Very Good,7.13X5.18X3.47,GIA,US$9,638
Emerald,1.14,H,VS1,,60.1,70,Excellent,Very Good,7.37X5.37X3.23,GIA,US$6,639
Emerald,0.60,I,VVS2,,68.5,65,Very Good,Very Good,5.81X4.13X2.83,GIA,US$1,387
Emerald,1.71,J,SI1,,69.2,68,Very Good,Very Good,7.76X5.8X4.02,GIA,US$10,534
Emerald,1.01,H,VS2,,67.2,75,Very Good,Good,7.07X5.1X3.43,GIA,US$5,777
Emerald,0.82,G,VS2,,68.2,67,Excellent,Very Good,6.21X4.49X3.06,GIA,US$3,070
Emerald,0.97,D,SI1,,62.7,62,Excellent,Very Good,6.64X4.93X3.09,GIA,US$4,524
Emerald,0.78,D,VS2,,66.7,62,Very Good,Very Good,6.00X4.52X3.01,GIA,US$3,214
Emerald,6.04,L,SI1,,66.3,70,Very Good,Very Good,12.14X9.17X6.08,GIA,US$66,742
Emerald,1.06,F,VS1,,72.6,65,Excellent,Good,6.86X4.65X3.37,GIA,US$7,123
Emerald,1.12,E,VS1,,70.2,57,Very Good,Very Good,6.72X5.07X3.56,GIA,US$6,720
Emerald,1.06,G,VS2,,68,63,Very Good,Very Good,6.88X4.99X3.39,GIA,US$7,055
Emerald,1.14,J,VVS2,,67.2,66,Excellent,Excellent,7.24X5.05X3.39,GIA,US$5,333
Emerald,1.06,D,SI1,,68.3,65,Very Good,Good,6.84X4.76X3.25,GIA,US$5,129
Emerald,1.25,G,VS1,,66.1,63,Excellent,Very Good,7.12X5.26X3.47,GIA,US$8,970
Emerald,1.25,I,VVS2,,68.7,63,Excellent,Very Good,7.02X5.07X3.48,GIA,US$6,700
Emerald,1.30,J,VS2,,68,65,Very Good,Very Good,7.18X5.34X3.63,GIA,US$5,922
Emerald,1.30,D,VS1,,66.5,66,Excellent,Excellent,7.44X5.52X3.67,GIA,US$10,982
Emerald,1.60,E,VS1,,65.9,63,Excellent,Very Good,8.06X5.52X3.64,GIA,US$16,333
Emerald,1.11,I,VVS1,,69.1,62,Very Good,Very Good,6.68X5.06X3.50,GIA,US$6,003
Emerald,1.21,G,VS1,,65.1,66,Very Good,Very Good,7.25X5.42X3.53,GIA,US$9,728
Emerald,1.22,F,VS1,,64.7,64,Very Good,Very Good,7.30X5.32X3.44,GIA,US$8,472
Emerald,1.02,I,VS2,,65.8,64,Very Good,Very Good,6.83X5.03X3.31,GIA,US$4,986
Emerald,1.02,F,VS2,,63,65,Very Good,Very Good,7.07X4.99X3.14,GIA,US$7,213
Emerald,1.02,J,VS1,,66,65,Very Good,Very Good,6.70X5.08X3.35,GIA,US$4,349
Emerald,1.02,G,VS1,,68.8,65,Good,Very Good,7.64X4.53X3.12,GIA,US$7,001
Emerald,1.02,I,VS2,,65.7,66,Very Good,Very Good,6.71X4.96X3.26,GIA,US$4,986
Emerald,1.20,I,VS1,,64.8,67,Good,Good,7.96X4.96X3.22,GIA,US$5,457
Emerald,1.03,E,VS1,,67.7,63,Very Good,Very Good,6.72X4.98X3.37,GIA,US$8,034
Emerald,1.03,F,SI1,,67.4,64,Very Good,Very Good,7.10X4.79X3.23,GIA,US$6,612
Emerald,1.07,F,VS2,,67.1,65,Very Good,Good,6.91X5.06X3.40,GIA,US$7,567
Emerald,1.07,H,VVS2,,68.8,65,Very Good,Very Good,7.06X4.79X3.29,GIA,US$6,636
Emerald,1.07,J,VS2,,65.3,67,Very Good,Very Good,7.00X5.06X3.31,GIA,US$4,340
Emerald,1.01,J,SI1,,67.3,64,Very Good,Very Good,7.03X4.75X3.19,GIA,US$4,066
Emerald,1.01,I,VS1,,69.4,64,Very Good,Good,7.10X4.60X3.19,GIA,US$5,385
Emerald,1.00,F,SI1,,65.5,62,Very Good,Very Good,6.66X5.01X3.28,GIA,US$6,136
Emerald,1.01,E,VS2,,64.4,68,Very Good,Very Good,6.74X5.08X3.27,GIA,US$7,353
Emerald,1.01,J,VS1,,65.6,68,Very Good,Good,6.60X5.05X3.31,GIA,US$4,638
Emerald,1.01,H,VS2,,66.9,68,Very Good,Very Good,7.11X4.81X3.22,GIA,US$5,934
Emerald,1.01,I,SI1,,62.3,69,Very Good,Very Good,6.76X5.16X3.21,GIA,US$4,727
Emerald,1.01,I,VS1,,63.7,69,Very Good,Very Good,6.66X5.07X3.23,GIA,US$5,385
Emerald,1.00,J,SI1,,57.5,67,Very Good,Very Good,6.73X5.07X2.92,GIA,US$3,966
Emerald,1.01,I,VS2,,66.5,66,Very Good,Good,6.67X5.01X3.33,GIA,US$4,937
Emerald,1.02,F,VS2,,68.9,69,Very Good,Good,7.33X4.79X3.30,GIA,US$7,213
Emerald,0.40,D,VS2,,66.9,62,Excellent,Good,4.78X3.57X2.39,GIA,US$1,152
Emerald,1.51,G,VS1,,61.6,62,Excellent,Very Good,8.06X5.64X3.47,GIA,US$14,279
Emerald,1.51,D,SI1,,65.8,64,Very Good,Very Good,7.91X5.54X3.65,GIA,US$13,116
Emerald,1.04,J,VVS2,,63.4,70,Very Good,Very Good,6.84X5.14X3.26,GIA,US$4,659
Emerald,1.02,E,VVS2,,66.6,62,Excellent,Excellent,6.56X4.95X3.30,GIA,US$6,443
Emerald,1.02,E,SI1,,65.9,64,Excellent,Very Good,6.83X4.83X3.18,GIA,US$5,077
Emerald,0.96,G,VS2,,66.1,62,Excellent,Very Good,6.63X4.77X3.15,GIA,US$5,338
Emerald,0.96,H,VS2,,67.8,64,Very Good,Very Good,6.52X4.77X3.24,GIA,US$4,838
Emerald,4.00,H,VS1,,66.6,64,Very Good,Good,10.81X7.7X5.13,GIA,US$84,890
Emerald,0.77,H,VS2,,63.4,69,Very Good,Very Good,6.32X4.57X2.90,GIA,US$2,717
Emerald,0.70,F,VS1,,68.8,66,Very Good,Very Good,6.38X4.09X2.82,GIA,US$3,203
Emerald,0.91,G,VS1,,65.5,64,Excellent,Very Good,6.97X4.68X3.06,GIA,US$4,921
Emerald,1.20,H,VS2,,67.4,63,Excellent,Excellent,7.00X5.12X3.45,GIA,US$7,248
Emerald,1.20,F,VVS2,,65.2,64,Excellent,Very Good,7.06X5.34X3.49,GIA,US$8,918
Emerald,0.90,E,VVS2,,63.4,65,Excellent,Very Good,6.20X4.71X2.99,GIA,US$4,216
Emerald,0.90,D,SI1,,63.5,65,Very Good,Very Good,6.67X4.63X2.94,GIA,US$3,722
Emerald,1.00,H,VS2,,64.1,68,Excellent,Good,6.79X4.86X3.11,GIA,US$5,880
Emerald,1.00,E,VS2,,62.5,69,Excellent,Excellent,7.01X4.95X3.09,GIA,US$7,280
Emerald,1.01,G,VS1,,67.2,73,Very Good,Good,7.13X4.90X3.30,GIA,US$5,743
Emerald,2.02,F,VS2,,66.5,78,Very Good,Good,8.74X6.27X4.17,GIA,US$23,529
Emerald,0.75,F,SI1,,67.3,63,Excellent,Very Good,6.04X4.39X2.95,GIA,US$2,790
Emerald,4.87,I,VS1,,69.6,71,Very Good,Good,10.73X8.27X5.75,GIA,US$79,771
Emerald,0.71,D,VS2,,67.3,62,Very Good,Very Good,6.26X4.21X2.83,GIA,US$3,408
Emerald,2.01,G,VS2,,63.7,65,Excellent,Very Good,8.53X6.24X3.98,GIA,US$27,658
Emerald,5.02,T,VVS2,,68.3,61,Very Good,Good,11.11X8.39X5.73,GIA,US$32,128
Emerald,0.93,G,VS2,,65.6,61,Excellent,Very Good,6.7X4.7X3.08,GIA,US$5,171
Emerald,1.01,I,VS2,,65.1,64,Very Good,Very Good,6.76X5.05X3.29,GIA,US$4,937
Emerald,1.01,F,SI1,,67.2,64,Very Good,Good,7.14X4.77X3.21,GIA,US$6,197
Emerald,0.89,E,VVS2,,68.4,62,Very Good,Good,6.49X4.61X3.15,GIA,US$4,350
Emerald,0.69,F,VS1,,68.2,67,Very Good,Good,6.30X4.27X2.91,GIA,US$2,241
Emerald,1.03,J,VS2,,63.4,62,Very Good,Good,7.36X4.86X3.08,GIA,US$4,178
Emerald,1.07,G,IF,,65.3,63,Very Good,Very Good,7.02X5.06X3.31,GIA,US$8,680
Emerald,1.67,J,SI1,,67,60,Very Good,Very Good,9.31X5.20X3.49,GIA,US$8,721
Emerald,1.59,D,VS2,,66.6,64,Excellent,Excellent,7.75X5.66X3.77,GIA,US$17,294
Emerald,2.04,F,VS1,,67.9,63,Excellent,Excellent,8.43X5.99X4.07,GIA,US$26,484
Emerald,1.52,H,SI1,,65.8,65,Very Good,Very Good,8.05X5.81X3.83,GIA,US$12,586
Emerald,1.52,K,SI1,,62.7,66,Good,Very Good,7.72X5.88X3.69,GIA,US$6,749
Emerald,3.00,E,VS1,,66.4,63,Excellent,Very Good,9.31X6.95X4.62,GIA,US$55,650
Emerald,1.04,H,VS1,,67,62,Excellent,Excellent,6.72X4.79X3.21,GIA,US$6,323
Emerald,1.04,G,VS1,,69.3,65,Very Good,Good,7.67X4.53X3.14,GIA,US$7,139
Emerald,1.03,I,VVS1,,67.6,67,Very Good,Good,7.02X4.78X3.23,GIA,US$5,827
Emerald,1.03,I,VS2,,64.3,68,Very Good,Very Good,6.75X5.09X3.27,GIA,US$5,035
Emerald,1.03,I,VS2,,67.4,69,Very Good,Very Good,7.16X4.81X3.24,GIA,US$5,267
Emerald,0.70,H,VS1,,64,64,Excellent,Very Good,5.96X4.47X2.86,GIA,US$2,498
Emerald,0.70,E,VVS2,,66.9,64,Excellent,Very Good,5.81X4.37X2.92,GIA,US$2,790
Emerald,0.70,D,SI1,,66.2,66,Excellent,Very Good,6.12X4.52X2.99,GIA,US$2,480
Emerald,0.90,E,SI1,,67.8,63,Excellent,Very Good,6.49X4.58X3.10,GIA,US$3,740
Emerald,0.90,G,SI1,,68,63,Excellent,Very Good,6.63X4.49X3.05,GIA,US$3,737
Emerald,3.21,I,VS1,,67.1,65,Excellent,Very Good,9.79X7.26X4.88,GIA,US$44,041
Emerald,1.51,G,VS1,,67.4,64,Excellent,Excellent,7.68X5.51X3.71,GIA,US$14,279
Emerald,1.51,G,VS1,,67.4,64,Excellent,Very Good,7.53X5.52X3.72,GIA,US$13,844
Emerald,1.51,G,VS2,,67.8,64,Excellent,Very Good,7.99X5.60X3.80,GIA,US$13,708
Emerald,1.51,F,VS1,,67.1,65,Excellent,Very Good,7.76X5.68X3.81,GIA,US$15,209
Emerald,1.01,H,VS1,,68.1,65,Excellent,Very Good,6.64X4.87X3.32,GIA,US$5,325
Emerald,1.01,H,VVS2,,63.3,66,Excellent,Very Good,6.78X5.03X3.18,GIA,US$5,333
Emerald,0.89,K,SI1,,69.7,69,Good,Good,5.71X5.07X3.53,GIA,US$1,709
Emerald,0.91,F,VS2,,63.3,66,Very Good,Very Good,6.70X4.88X3.09,GIA,US$5,016
Emerald,0.91,E,VVS1,,63.7,70,Very Good,Very Good,7.16X4.62X2.94,GIA,US$6,719
Emerald,1.13,I,VVS1,,67.5,66,Very Good,Very Good,7.08X5.00X3.38,GIA,US$6,111
Emerald,0.75,F,VS2,,67.9,64,Very Good,Good,7.05X4.08X2.77,GIA,US$3,276
Emerald,7.07,L,SI1,,66,69,Very Good,Very Good,12.98X9.7X6.4,GIA,US$94,667
Emerald,1.09,I,VS1,,67.8,69,Very Good,Very Good,6.70X5.11X3.47,GIA,US$5,555
Emerald,1.52,G,VS1,,67.5,63,Excellent,Excellent,7.61X5.57X3.76,GIA,US$14,373
Emerald,1.61,E,VS2,,68.6,64,Excellent,Excellent,7.51X5.60X3.84,GIA,US$15,894
Emerald,1.02,D,SI1,,66,59,Excellent,Very Good,6.76X4.85X3.20,GIA,US$5,552
Emerald,1.09,J,VVS2,,66.6,62,Excellent,Very Good,7.05X4.90X3.26,GIA,US$4,491
Emerald,1.31,D,VS2,,65.1,64,Excellent,Excellent,7.42X5.28X3.43,GIA,US$10,679
Emerald,1.11,I,VS2,,65.7,64,Very Good,Very Good,7.24X5.11X3.36,GIA,US$5,426
Emerald,1.11,I,VVS2,,67,66,Excellent,Very Good,6.98X5.01X3.36,GIA,US$5,594
Emerald,1.20,G,VS2,,62.9,66,Excellent,Very Good,7.59X5.18X3.26,GIA,US$8,350
Emerald,1.00,G,VS2,,67.2,59,Excellent,Very Good,6.96X4.6X3.09,GIA,US$6,640
Emerald,1.00,D,VS2,,66.4,62,Very Good,Good,6.69X4.98X3.31,GIA,US$7,440
Emerald,1.00,H,VS2,,65.1,64,Excellent,Very Good,6.97X4.68X3.05,GIA,US$6,040
Emerald,1.03,G,VS1,,65.7,62,Very Good,Very Good,6.89X4.78X3.14,GIA,US$5,857
Emerald,1.50,H,VS1,,68.2,61,Excellent,Very Good,7.60X5.53X3.77,GIA,US$12,504
Emerald,1.50,E,VS2,,66.1,63,Excellent,Very Good,7.81X5.66X3.74,GIA,US$15,276
Emerald,1.50,F,VS2,,67.8,63,Excellent,Very Good,7.52X5.66X3.84,GIA,US$14,364
Emerald,0.90,I,VS1,,68,65,Excellent,Very Good,6.32X4.69X3.19,GIA,US$3,564
Emerald,0.90,E,VS2,,68.1,65,Excellent,Very Good,6.42X4.54X3.09,GIA,US$4,039
Emerald,0.90,H,VS2,,68.2,66,Excellent,Very Good,6.71X4.57X3.12,GIA,US$3,776
Emerald,1.05,E,VS2,,68,62,Excellent,Excellent,6.82X4.88X3.32,GIA,US$6,458
Emerald,1.05,F,VVS2,,67.3,63,Excellent,Excellent,6.89X5.02X3.38,GIA,US$6,804
Emerald,1.05,F,VVS2,,63.6,66,Excellent,Excellent,6.80X5.03X3.20,GIA,US$6,804
Emerald,1.50,F,VS2,,68.2,63,Excellent,Excellent,7.51X5.52X3.77,GIA,US$14,136
Emerald,1.08,D,VS1,,68,63,Excellent,Very Good,6.59X4.98X3.38,GIA,US$6,912
Emerald,0.71,D,SI1,,67.2,64,Excellent,Excellent,5.91X4.33X2.91,GIA,US$2,142
Emerald,0.81,H,VVS2,,68,65,Excellent,Very Good,6.10X4.46X3.03,GIA,US$2,922
Emerald,0.90,H,VS2,,66.3,64,Excellent,Excellent,6.51X4.88X3.24,GIA,US$3,709
Emerald,0.90,H,VVS2,,67.5,64,Excellent,Excellent,6.40X4.79X3.23,GIA,US$3,794
Emerald,1.21,F,VVS2,,65.9,61,Excellent,Very Good,7.00X5.11X3.37,GIA,US$8,993
Emerald,1.00,D,SI1,,67.1,60,Excellent,Very Good,6.60X4.84X3.24,GIA,US$4,939
Emerald,0.75,D,VS2,,64.8,63,Excellent,Very Good,6.38X4.34X2.81,GIA,US$3,024
Emerald,0.70,D,VS2,,62.8,68,Excellent,Very Good,6.11X4.57X2.87,GIA,US$2,937
Emerald,1.22,F,VS2,,65.4,62,Excellent,Very Good,7.29X5.01X3.28,GIA,US$8,870
Emerald,1.01,E,SI1,,68.1,61,Very Good,Very Good,7.05X4.76X3.24,GIA,US$4,830
Emerald,1.01,F,VS1,,65.3,62,Excellent,Very Good,6.66X4.95X3.23,GIA,US$5,995
Emerald,1.01,E,VS2,,66.5,62,Excellent,Very Good,6.70X5.04X3.36,GIA,US$6,100
