Shape Carat Cut Color Clarity Polish Symmetry "Lab Certification" Price
Round 0.23 Fair J SI2 Good Fair GIA $198
Round 0.18 "Very Good" I VS1 "Very Good" Good GIA $199
Round 0.21 Excellent J VS1 "Very Good" Excellent GIA $199
Round 0.18 Excellent I VS1 Excellent Excellent GIA $199
Round 0.18 Excellent J VS2 Excellent Excellent GIA $199
Round 0.20 "Very Good" J VS1 "Very Good" Excellent GIA $199
Round 0.20 Excellent J VS1 Excellent Excellent GIA $199
Princess 0.31 Excellent K I1 Good Fair GIA $199
Round 0.18 Excellent J VVS1 Excellent "Very Good" GIA $200
Round 0.18 Good I VVS1 Excellent Excellent GIA $200
Emerald 0.21 Good F SI1 Fair Good GIA $200
Round 0.20 "Very Good" I VS2 "Very Good" Good GIA $201
Round 0.23 "Very Good" J VVS2 Excellent "Very Good" GIA $201
Round 0.18 "Very Good" I VVS1 Excellent "Very Good" GIA $201
Emerald 0.18 "Very Good" G VVS2 "Very Good" "Very Good" GIA $202
Pear 0.30 "Very Good" K I1 "Very Good" Good GIA $202
Princess 0.18 "Very Good" H IF "Very Good" Good GIA $202
Round 0.41 "Very Good" J I1 Excellent "Very Good" GIA $203
Round 0.21 Excellent K VS1 Excellent Excellent GIA $203
Round 0.30 "Very Good" K I1 Excellent "Very Good" GIA $203
Round 0.18 Excellent F SI1 Excellent Excellent GIA $203
Round 0.30 "Very Good" M VS2 "Very Good" Excellent GIA $203
Round 0.18 "Very Good" I VS2 "Very Good" "Very Good" GIA $203
Round 0.30 "Very Good" M SI1 Good "Very Good" GIA $203
Round 0.18 Excellent I VVS2 "Very Good" "Very Good" GIA $203
Round 0.20 Fair F VS2 Good Fair GIA $203
Round 0.30 Excellent M SI2 Excellent Excellent GIA $204
Round 0.18 Excellent E SI1 "Very Good" "Very Good" GIA $204
Round 0.18 "Very Good" J SI1 "Very Good" "Very Good" GIA $204
Round 0.18 Excellent J SI1 Excellent "Very Good" GIA $204
Pear 0.30 Excellent K SI1 Excellent "Very Good" GIA $205
Round 0.18 Excellent E SI1 Excellent Excellent GIA $205
Round 0.18 Excellent E SI1 Excellent Excellent GIA $205
Round 0.18 Excellent D SI1 Excellent "Very Good" GIA $205
Round 0.18 "Very Good" D SI1 Excellent "Very Good" GIA $205
Round 0.18 Excellent E SI1 Excellent "Very Good" GIA $205
Round 0.18 Excellent E SI1 Excellent Excellent GIA $205
Round 0.18 "Very Good" D SI1 Excellent "Very Good" GIA $205
Round 0.18 Excellent E SI1 Excellent "Very Good" GIA $205
Round 0.30 Good J I1 "Very Good" "Very Good" GIA $206
Round 0.18 "Very Good" J VS2 "Very Good" "Very Good" GIA $206
Round 0.35 "Very Good" M VS1 Excellent "Very Good" GIA $206
Round 0.33 Good L I1 Good Fair GIA $206
Round 0.18 "Very Good" F SI1 Excellent "Very Good" GIA $206
Round 0.30 "Very Good" M VS2 "Very Good" Good GIA $207
Round 0.19 Excellent I VS2 "Very Good" "Very Good" GIA $207
Round 0.18 Excellent E VS2 "Very Good" "Very Good" GIA $207
Pear 0.31 "Very Good" L VS2 Excellent "Very Good" GIA $207
Round 0.30 Excellent I I1 "Very Good" Excellent GIA $208
Round 0.31 "Very Good" M VS2 Excellent Excellent GIA $208
Round 0.19 Excellent I VVS2 Excellent Excellent GIA $208
Round 0.18 Excellent J VS2 Excellent "Very Good" GIA $208
Pear 0.31 Excellent K I1 "Very Good" Good GIA $208
